"StateFIPS","State","CountyFIPS","County","Year","Value","Data Comment",,"Distance to Parks"
"06","California","06065","Riverside","2010","37.7%","",,"Distance to Parks: 1/2 Mile"
"06","California","06065","Riverside","2015","60.4%","",,"Distance to Parks: 1/2 Mile"
"06","California","06065","Riverside","2020","65.7%","",,"Distance to Parks: 1/2 Mile"
"06","California","06067","Sacramento","2010","62.2%","",,"Distance to Parks: 1/2 Mile"
"06","California","06067","Sacramento","2015","87.5%","",,"Distance to Parks: 1/2 Mile"
"06","California","06067","Sacramento","2020","89.7%","",,"Distance to Parks: 1/2 Mile"
"06","California","06069","San Benito","2010","47.7%","",,"Distance to Parks: 1/2 Mile"
"06","California","06069","San Benito","2015","41.9%","",,"Distance to Parks: 1/2 Mile"
"06","California","06069","San Benito","2020","54.9%","",,"Distance to Parks: 1/2 Mile"
"06","California","06071","San Bernardino","2010","33.6%","",,"Distance to Parks: 1/2 Mile"
"06","California","06071","San Bernardino","2015","59.3%","",,"Distance to Parks: 1/2 Mile"
"06","California","06071","San Bernardino","2020","63.1%","",,"Distance to Parks: 1/2 Mile"
"06","California","06073","San Diego","2010","47.2%","",,"Distance to Parks: 1/2 Mile"
"06","California","06073","San Diego","2015","82.4%","",,"Distance to Parks: 1/2 Mile"
"06","California","06073","San Diego","2020","84.3%","",,"Distance to Parks: 1/2 Mile"
"06","California","06075","San Francisco","2010","96.5%","",,"Distance to Parks: 1/2 Mile"
"06","California","06075","San Francisco","2015","99.6%","",,"Distance to Parks: 1/2 Mile"
"06","California","06075","San Francisco","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06077","San Joaquin","2010","55.6%","",,"Distance to Parks: 1/2 Mile"
"06","California","06077","San Joaquin","2015","69.3%","",,"Distance to Parks: 1/2 Mile"
"06","California","06077","San Joaquin","2020","77.9%","",,"Distance to Parks: 1/2 Mile"
"06","California","06079","San Luis Obispo","2010","38.2%","",,"Distance to Parks: 1/2 Mile"
"06","California","06079","San Luis Obispo","2015","57.8%","",,"Distance to Parks: 1/2 Mile"
"06","California","06079","San Luis Obispo","2020","60.9%","",,"Distance to Parks: 1/2 Mile"
"06","California","06081","San Mateo","2010","77.5%","",,"Distance to Parks: 1/2 Mile"
"06","California","06081","San Mateo","2015","91.5%","",,"Distance to Parks: 1/2 Mile"
"06","California","06081","San Mateo","2020","92.4%","",,"Distance to Parks: 1/2 Mile"
"06","California","06083","Santa Barbara","2010","47.2%","",,"Distance to Parks: 1/2 Mile"
"06","California","06083","Santa Barbara","2015","80.5%","",,"Distance to Parks: 1/2 Mile"
"06","California","06083","Santa Barbara","2020","82.5%","",,"Distance to Parks: 1/2 Mile"
"06","California","06085","Santa Clara","2010","74.2%","",,"Distance to Parks: 1/2 Mile"
"06","California","06085","Santa Clara","2015","88.7%","",,"Distance to Parks: 1/2 Mile"
"06","California","06085","Santa Clara","2020","93.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06087","Santa Cruz","2010","57.6%","",,"Distance to Parks: 1/2 Mile"
"06","California","06087","Santa Cruz","2015","84.7%","",,"Distance to Parks: 1/2 Mile"
"06","California","06087","Santa Cruz","2020","85.8%","",,"Distance to Parks: 1/2 Mile"
"06","California","06089","Shasta","2010","8.6%","",,"Distance to Parks: 1/2 Mile"
"06","California","06089","Shasta","2015","54.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06089","Shasta","2020","58.5%","",,"Distance to Parks: 1/2 Mile"
"06","California","06091","Sierra","2010","0.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06091","Sierra","2015","93.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06091","Sierra","2020","94.8%","",,"Distance to Parks: 1/2 Mile"
"06","California","06093","Siskiyou","2010","4.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06093","Siskiyou","2015","66.3%","",,"Distance to Parks: 1/2 Mile"
"06","California","06093","Siskiyou","2020","69.6%","",,"Distance to Parks: 1/2 Mile"
"06","California","06095","Solano","2010","63.1%","",,"Distance to Parks: 1/2 Mile"
"06","California","06095","Solano","2015","73.5%","",,"Distance to Parks: 1/2 Mile"
"06","California","06095","Solano","2020","75.1%","",,"Distance to Parks: 1/2 Mile"
"06","California","06097","Sonoma","2010","44.8%","",,"Distance to Parks: 1/2 Mile"
"06","California","06097","Sonoma","2015","60.5%","",,"Distance to Parks: 1/2 Mile"
"06","California","06097","Sonoma","2020","67.2%","",,"Distance to Parks: 1/2 Mile"
"06","California","06099","Stanislaus","2010","59.6%","",,"Distance to Parks: 1/2 Mile"
"06","California","06099","Stanislaus","2015","71.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06099","Stanislaus","2020","73.7%","",,"Distance to Parks: 1/2 Mile"
"06","California","06101","Sutter","2010","37.2%","",,"Distance to Parks: 1/2 Mile"
"06","California","06101","Sutter","2015","42.8%","",,"Distance to Parks: 1/2 Mile"
"06","California","06101","Sutter","2020","46.3%","",,"Distance to Parks: 1/2 Mile"
"06","California","06103","Tehama","2010","6.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06103","Tehama","2015","24.7%","",,"Distance to Parks: 1/2 Mile"
"06","California","06103","Tehama","2020","30.9%","",,"Distance to Parks: 1/2 Mile"
"06","California","06105","Trinity","2010","7.3%","",,"Distance to Parks: 1/2 Mile"
"06","California","06105","Trinity","2015","96.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06105","Trinity","2020","95.7%","",,"Distance to Parks: 1/2 Mile"
"06","California","06107","Tulare","2010","9.4%","",,"Distance to Parks: 1/2 Mile"
"06","California","06107","Tulare","2015","49.2%","",,"Distance to Parks: 1/2 Mile"
"06","California","06107","Tulare","2020","51.3%","",,"Distance to Parks: 1/2 Mile"
"06","California","06109","Tuolumne","2010","8.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06109","Tuolumne","2015","68.1%","",,"Distance to Parks: 1/2 Mile"
"06","California","06109","Tuolumne","2020","62.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06111","Ventura","2010","61.6%","",,"Distance to Parks: 1/2 Mile"
"06","California","06111","Ventura","2015","80.7%","",,"Distance to Parks: 1/2 Mile"
"06","California","06111","Ventura","2020","82.1%","",,"Distance to Parks: 1/2 Mile"
"06","California","06113","Yolo","2010","63.6%","",,"Distance to Parks: 1/2 Mile"
"06","California","06113","Yolo","2015","72.5%","",,"Distance to Parks: 1/2 Mile"
"06","California","06113","Yolo","2020","78.3%","",,"Distance to Parks: 1/2 Mile"
"06","California","06115","Yuba","2010","22.5%","",,"Distance to Parks: 1/2 Mile"
"06","California","06115","Yuba","2015","49.7%","",,"Distance to Parks: 1/2 Mile"
"06","California","06115","Yuba","2020","56.0%","",,"Distance to Parks: 1/2 Mile"
